nohup: ignoring input
============================================================================================
Remove CancerControl-v0 from registry
============================================================================================
Device set to : NVIDIA GeForce RTX 3090
============================================================================================
training environment name : gym_cancer:CancerControl-v0--patient011
2022-09-22 10:05:58.402593: I tensorflow/core/util/util.cc:169] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the environment variable `TF_ENABLE_ONEDNN_OPTS=0`.
current logging run number for gym_cancer:CancerControl-v0 :  0
save checkpoint path : ../PPO_pretrained/online/gym_cancer:CancerControl-v0/patient011/
save checkpoint format : patient011_10_20220922-1005-m1-0.8-AI-0.8_PPO_gym_cancer:CancerControl-v0_0_0.pth
--------------------------------------------------------------------------------------------
num of envs : 1
max training updating times :  100000
max timesteps per episode :  120
model saving frequency : 500 episodes
log frequency : 2 episodes
printing average reward over episodes in last : 2 episodes
--------------------------------------------------------------------------------------------
state space dimension :  7
action space dimension :  10
--------------------------------------------------------------------------------------------
Initializing a discrete action space policy
--------------------------------------------------------------------------------------------
The initial explore rate : 0.8 and initial exploit rate is : 1- 0.8
PPO update frequency : 2 episodes
PPO K epochs :  4
PPO epsilon clip :  0.2
discount factor (gamma) :  0.99
--------------------------------------------------------------------------------------------
decaying optimizer with step size :  1000  decay ratio :  0.8
optimizer learning rate actor :  3e-05
optimizer learning rate critic :  1e-05
The local computer has : 24 cores
============================================================================================
Started training at (GMT) :  2022-09-22 10:06:04
============================================================================================
Updates : 0 		 Survival : 4.0  		 Treated : 0 		 Reward : -0.38
Updates : 4540 		 Survival : 108.0  		 Treated : 6 		 Reward : 3748.76
Updates : 4542 		 Survival : 108.0  		 Treated : 6 		 Reward : 4073.93
Updates : 4544 		 Survival : 99.0  		 Treated : 6 		 Reward : 3751.53
Updates : 4546 		 Survival : 98.0  		 Treated : 6 		 Reward : 3576.42
Updates : 4548 		 Survival : 108.0  		 Treated : 6 		 Reward : 3975.96
Updates : 4550 		 Survival : 100.0  		 Treated : 6 		 Reward : 3698.24
Updates : 4552 		 Survival : 99.0  		 Treated : 6 		 Reward : 3656.35
Updates : 4554 		 Survival : 108.0  		 Treated : 6 		 Reward : 3990.41
Updates : 4556 		 Survival : 108.0  		 Treated : 6 		 Reward : 3936.73
Updates : 4558 		 Survival : 108.0  		 Treated : 6 		 Reward : 3256.33
Updates : 4560 		 Survival : 108.0  		 Treated : 6 		 Reward : 3550.49
Updates : 4562 		 Survival : 108.0  		 Treated : 6 		 Reward : 3834.01
Updates : 4564 		 Survival : 108.0  		 Treated : 6 		 Reward : 3616.89
Updates : 4566 		 Survival : 108.0  		 Treated : 6 		 Reward : 3446.4
Updates : 4568 		 Survival : 98.0  		 Treated : 6 		 Reward : 3618.22
Updates : 4570 		 Survival : 101.0  		 Treated : 6 		 Reward : 3816.79
Updates : 4572 		 Survival : 100.0  		 Treated : 6 		 Reward : 3683.57
Updates : 4574 		 Survival : 108.0  		 Treated : 6 		 Reward : 3281.05
Updates : 4576 		 Survival : 106.0  		 Treated : 6 		 Reward : 4106.15
Updates : 4578 		 Survival : 108.0  		 Treated : 6 		 Reward : 4267.47
Updates : 4580 		 Survival : 108.0  		 Treated : 6 		 Reward : 3755.78
Updates : 4582 		 Survival : 108.0  		 Treated : 6 		 Reward : 3589.58
Updates : 4584 		 Survival : 108.0  		 Treated : 6 		 Reward : 4014.41
Updates : 4586 		 Survival : 97.0  		 Treated : 6 		 Reward : 3535.57
Updates : 4588 		 Survival : 108.0  		 Treated : 6 		 Reward : 3972.67
Updates : 4590 		 Survival : 108.0  		 Treated : 6 		 Reward : 3552.77
Updates : 4592 		 Survival : 108.0  		 Treated : 6 		 Reward : 3225.74
Updates : 4594 		 Survival : 108.0  		 Treated : 6 		 Reward : 3490.87
Updates : 4596 		 Survival : 108.0  		 Treated : 6 		 Reward : 3978.7
Updates : 4598 		 Survival : 108.0  		 Treated : 6 		 Reward : 3295.0
Updates : 4600 		 Survival : 108.0  		 Treated : 6 		 Reward : 4206.3
Updates : 4602 		 Survival : 108.0  		 Treated : 6 		 Reward : 4007.81
Updates : 4604 		 Survival : 108.0  		 Treated : 6 		 Reward : 3301.31
Updates : 4606 		 Survival : 108.0  		 Treated : 6 		 Reward : 3663.68
Updates : 4608 		 Survival : 108.0  		 Treated : 6 		 Reward : 3837.69
Updates : 4610 		 Survival : 108.0  		 Treated : 6 		 Reward : 3869.59
Updates : 4612 		 Survival : 108.0  		 Treated : 6 		 Reward : 3450.5
Updates : 4614 		 Survival : 93.0  		 Treated : 6 		 Reward : 3297.66
Updates : 4616 		 Survival : 108.0  		 Treated : 6 		 Reward : 3440.84
Updates : 4618 		 Survival : 97.0  		 Treated : 6 		 Reward : 3581.55
Updates : 4620 		 Survival : 108.0  		 Treated : 6 		 Reward : 3405.6
Updates : 4622 		 Survival : 108.0  		 Treated : 6 		 Reward : 3841.69
Updates : 4624 		 Survival : 108.0  		 Treated : 6 		 Reward : 3048.15
Updates : 4626 		 Survival : 108.0  		 Treated : 6 		 Reward : 3625.56
Updates : 4628 		 Survival : 108.0  		 Treated : 6 		 Reward : 3873.32
Updates : 4630 		 Survival : 108.0  		 Treated : 6 		 Reward : 3347.98
Updates : 4632 		 Survival : 108.0  		 Treated : 6 		 Reward : 3606.06
Updates : 4634 		 Survival : 91.0  		 Treated : 6 		 Reward : 3201.04
Updates : 4636 		 Survival : 108.0  		 Treated : 6 		 Reward : 3854.4
Updates : 4638 		 Survival : 95.0  		 Treated : 6 		 Reward : 3519.31
Updates : 4640 		 Survival : 108.0  		 Treated : 6 		 Reward : 3656.49
Updates : 4642 		 Survival : 108.0  		 Treated : 6 		 Reward : 3552.8
Updates : 4644 		 Survival : 108.0  		 Treated : 6 		 Reward : 3762.39
Updates : 4646 		 Survival : 108.0  		 Treated : 6 		 Reward : 3853.5
Updates : 4648 		 Survival : 108.0  		 Treated : 6 		 Reward : 3947.47
Updates : 4650 		 Survival : 108.0  		 Treated : 6 		 Reward : 3709.48
Updates : 4652 		 Survival : 108.0  		 Treated : 6 		 Reward : 3507.97
Updates : 4654 		 Survival : 93.0  		 Treated : 6 		 Reward : 3327.76
Updates : 4656 		 Survival : 108.0  		 Treated : 6 		 Reward : 3836.94
Updates : 4658 		 Survival : 96.0  		 Treated : 6 		 Reward : 3536.82
Updates : 4660 		 Survival : 94.0  		 Treated : 6 		 Reward : 3376.85
Updates : 4662 		 Survival : 108.0  		 Treated : 6 		 Reward : 3333.83
Updates : 4664 		 Survival : 99.0  		 Treated : 6 		 Reward : 3656.35
Updates : 4666 		 Survival : 100.0  		 Treated : 6 		 Reward : 3683.57
Updates : 4668 		 Survival : 108.0  		 Treated : 6 		 Reward : 3702.11
Updates : 4670 		 Survival : 108.0  		 Treated : 6 		 Reward : 4206.3
Updates : 4672 		 Survival : 98.0  		 Treated : 6 		 Reward : 3492.34
Updates : 4674 		 Survival : 108.0  		 Treated : 6 		 Reward : 3525.71
Updates : 4676 		 Survival : 108.0  		 Treated : 6 		 Reward : 2767.38
Updates : 4678 		 Survival : 108.0  		 Treated : 6 		 Reward : 3614.12
Updates : 4680 		 Survival : 101.0  		 Treated : 6 		 Reward : 3763.3
Updates : 4682 		 Survival : 108.0  		 Treated : 6 		 Reward : 2946.04
Updates : 4684 		 Survival : 108.0  		 Treated : 6 		 Reward : 3704.26
Updates : 4686 		 Survival : 108.0  		 Treated : 6 		 Reward : 3468.94
Updates : 4688 		 Survival : 108.0  		 Treated : 6 		 Reward : 3835.28
Updates : 4690 		 Survival : 108.0  		 Treated : 6 		 Reward : 3838.3
Updates : 4692 		 Survival : 108.0  		 Treated : 6 		 Reward : 4260.33
Updates : 4694 		 Survival : 98.0  		 Treated : 6 		 Reward : 3583.79
Updates : 4696 		 Survival : 108.0  		 Treated : 6 		 Reward : 3885.43
Updates : 4698 		 Survival : 108.0  		 Treated : 6 		 Reward : 3625.63
Updates : 4700 		 Survival : 108.0  		 Treated : 6 		 Reward : 3725.4
Updates : 4702 		 Survival : 108.0  		 Treated : 6 		 Reward : 3375.09
Updates : 4704 		 Survival : 108.0  		 Treated : 6 		 Reward : 3466.8
Updates : 4706 		 Survival : 97.0  		 Treated : 6 		 Reward : 3535.57
Updates : 4708 		 Survival : 97.0  		 Treated : 6 		 Reward : 3535.57
Updates : 4710 		 Survival : 108.0  		 Treated : 6 		 Reward : 3094.43
Updates : 4712 		 Survival : 108.0  		 Treated : 6 		 Reward : 3176.88
Updates : 4714 		 Survival : 108.0  		 Treated : 6 		 Reward : 4206.3
Updates : 4716 		 Survival : 108.0  		 Treated : 6 		 Reward : 3773.02
Updates : 4718 		 Survival : 108.0  		 Treated : 6 		 Reward : 4149.47
Updates : 4720 		 Survival : 108.0  		 Treated : 6 		 Reward : 3884.89
Updates : 4722 		 Survival : 90.0  		 Treated : 6 		 Reward : 3281.36
Updates : 4724 		 Survival : 108.0  		 Treated : 6 		 Reward : 3313.24
Updates : 4726 		 Survival : 108.0  		 Treated : 6 		 Reward : 3543.92
Updates : 4728 		 Survival : 100.0  		 Treated : 6 		 Reward : 3683.57
Updates : 4730 		 Survival : 105.0  		 Treated : 6 		 Reward : 4144.58
Updates : 4732 		 Survival : 108.0  		 Treated : 6 		 Reward : 4221.96
Updates : 4734 		 Survival : 108.0  		 Treated : 6 		 Reward : 3509.91
Updates : 4736 		 Survival : 108.0  		 Treated : 6 		 Reward : 3167.87
Updates : 4738 		 Survival : 108.0  		 Treated : 6 		 Reward : 3880.42
Updates : 4740 		 Survival : 108.0  		 Treated : 6 		 Reward : 4031.85
Updates : 4742 		 Survival : 108.0  		 Treated : 6 		 Reward : 3989.2
Updates : 4744 		 Survival : 108.0  		 Treated : 6 		 Reward : 3795.84
Updates : 4746 		 Survival : 108.0  		 Treated : 6 		 Reward : 3075.75
Updates : 4748 		 Survival : 108.0  		 Treated : 6 		 Reward : 3475.51
Updates : 4750 		 Survival : 108.0  		 Treated : 6 		 Reward : 3646.46
Updates : 4752 		 Survival : 108.0  		 Treated : 6 		 Reward : 3737.67
Updates : 4754 		 Survival : 108.0  		 Treated : 6 		 Reward : 3732.02
Updates : 4756 		 Survival : 108.0  		 Treated : 6 		 Reward : 3846.54
Updates : 4758 		 Survival : 101.0  		 Treated : 6 		 Reward : 3816.79
Updates : 4760 		 Survival : 101.0  		 Treated : 6 		 Reward : 3816.79
Updates : 4762 		 Survival : 108.0  		 Treated : 6 		 Reward : 4105.26
Updates : 4764 		 Survival : 108.0  		 Treated : 6 		 Reward : 4044.97
Updates : 4766 		 Survival : 94.0  		 Treated : 6 		 Reward : 3316.51
Updates : 4768 		 Survival : 108.0  		 Treated : 6 		 Reward : 3391.1
Updates : 4770 		 Survival : 108.0  		 Treated : 6 		 Reward : 3381.23
Updates : 4772 		 Survival : 108.0  		 Treated : 6 		 Reward : 4241.22
Updates : 4774 		 Survival : 108.0  		 Treated : 6 		 Reward : 3590.98
Updates : 4776 		 Survival : 87.0  		 Treated : 6 		 Reward : 2908.72
Updates : 4778 		 Survival : 108.0  		 Treated : 6 		 Reward : 3464.16
Updates : 4780 		 Survival : 108.0  		 Treated : 6 		 Reward : 3331.55
Updates : 4782 		 Survival : 108.0  		 Treated : 6 		 Reward : 3665.29
Updates : 4784 		 Survival : 95.0  		 Treated : 6 		 Reward : 3459.41
Updates : 4786 		 Survival : 108.0  		 Treated : 6 		 Reward : 3692.04
Updates : 4788 		 Survival : 108.0  		 Treated : 6 		 Reward : 4093.16
Updates : 4790 		 Survival : 108.0  		 Treated : 6 		 Reward : 3956.34
Updates : 4792 		 Survival : 108.0  		 Treated : 6 		 Reward : 4206.3
Updates : 4794 		 Survival : 108.0  		 Treated : 6 		 Reward : 3903.24
Updates : 4796 		 Survival : 108.0  		 Treated : 6 		 Reward : 3480.82
Updates : 4798 		 Survival : 108.0  		 Treated : 6 		 Reward : 3855.84
Updates : 4800 		 Survival : 95.0  		 Treated : 6 		 Reward : 3488.24
Updates : 4802 		 Survival : 93.0  		 Treated : 6 		 Reward : 3327.76
Updates : 4804 		 Survival : 108.0  		 Treated : 6 		 Reward : 4065.57
Updates : 4806 		 Survival : 108.0  		 Treated : 6 		 Reward : 4056.12
Updates : 4808 		 Survival : 93.0  		 Treated : 6 		 Reward : 3327.76
Updates : 4810 		 Survival : 108.0  		 Treated : 6 		 Reward : 3563.41
Updates : 4812 		 Survival : 108.0  		 Treated : 6 		 Reward : 3354.78
Updates : 4814 		 Survival : 97.0  		 Treated : 6 		 Reward : 3581.55
Updates : 4816 		 Survival : 67.0  		 Treated : 6 		 Reward : 1677.27
Updates : 4818 		 Survival : 104.0  		 Treated : 6 		 Reward : 4003.02
Updates : 4820 		 Survival : 108.0  		 Treated : 6 		 Reward : 3756.3
Updates : 4822 		 Survival : 108.0  		 Treated : 6 		 Reward : 3741.75
Updates : 4824 		 Survival : 103.0  		 Treated : 6 		 Reward : 3923.01
Updates : 4826 		 Survival : 104.0  		 Treated : 6 		 Reward : 4003.02
Updates : 4828 		 Survival : 89.0  		 Treated : 6 		 Reward : 3030.41
Updates : 4830 		 Survival : 97.0  		 Treated : 6 		 Reward : 3535.57
Updates : 4832 		 Survival : 108.0  		 Treated : 6 		 Reward : 3818.58
Updates : 4834 		 Survival : 105.0  		 Treated : 6 		 Reward : 4021.35
Updates : 4836 		 Survival : 108.0  		 Treated : 6 		 Reward : 3469.92
Updates : 4838 		 Survival : 108.0  		 Treated : 6 		 Reward : 3148.89
Updates : 4840 		 Survival : 108.0  		 Treated : 6 		 Reward : 3752.42
Updates : 4842 		 Survival : 108.0  		 Treated : 6 		 Reward : 3896.11
Updates : 4844 		 Survival : 108.0  		 Treated : 6 		 Reward : 3328.73
Updates : 4846 		 Survival : 108.0  		 Treated : 6 		 Reward : 3424.41
Updates : 4848 		 Survival : 98.0  		 Treated : 6 		 Reward : 3654.46
Updates : 4850 		 Survival : 108.0  		 Treated : 6 		 Reward : 4076.61
Updates : 4852 		 Survival : 94.0  		 Treated : 6 		 Reward : 3299.16
Updates : 4854 		 Survival : 108.0  		 Treated : 6 		 Reward : 3717.17
Updates : 4856 		 Survival : 108.0  		 Treated : 6 		 Reward : 3494.77
Updates : 4858 		 Survival : 108.0  		 Treated : 6 		 Reward : 3501.42
Updates : 4860 		 Survival : 97.0  		 Treated : 6 		 Reward : 3617.86
Updates : 4862 		 Survival : 96.0  		 Treated : 6 		 Reward : 3536.82
Updates : 4864 		 Survival : 91.0  		 Treated : 6 		 Reward : 3285.03
Updates : 4866 		 Survival : 108.0  		 Treated : 6 		 Reward : 3924.85
Updates : 4868 		 Survival : 108.0  		 Treated : 6 		 Reward : 2632.32
Updates : 4870 		 Survival : 108.0  		 Treated : 6 		 Reward : 3520.93
Updates : 4872 		 Survival : 101.0  		 Treated : 6 		 Reward : 3816.79
Updates : 4874 		 Survival : 108.0  		 Treated : 6 		 Reward : 3640.59
Updates : 4876 		 Survival : 108.0  		 Treated : 6 		 Reward : 2571.62
Updates : 4878 		 Survival : 108.0  		 Treated : 6 		 Reward : 4149.47
Updates : 4880 		 Survival : 79.0  		 Treated : 6 		 Reward : 2423.34
Updates : 4882 		 Survival : 108.0  		 Treated : 6 		 Reward : 3781.33
Updates : 4884 		 Survival : 108.0  		 Treated : 6 		 Reward : 3632.92
Updates : 4886 		 Survival : 108.0  		 Treated : 6 		 Reward : 4093.16
Updates : 4888 		 Survival : 108.0  		 Treated : 6 		 Reward : 3823.06
Updates : 4890 		 Survival : 100.0  		 Treated : 6 		 Reward : 3776.85
Updates : 4892 		 Survival : 108.0  		 Treated : 6 		 Reward : 4057.06
Updates : 4894 		 Survival : 108.0  		 Treated : 6 		 Reward : 3693.58
Updates : 4896 		 Survival : 99.0  		 Treated : 6 		 Reward : 3745.56
Updates : 4898 		 Survival : 97.0  		 Treated : 6 		 Reward : 3535.57
Updates : 4900 		 Survival : 101.0  		 Treated : 6 		 Reward : 3597.04
Updates : 4902 		 Survival : 108.0  		 Treated : 6 		 Reward : 4168.42
Updates : 4904 		 Survival : 90.0  		 Treated : 6 		 Reward : 3214.25
Updates : 4906 		 Survival : 108.0  		 Treated : 6 		 Reward : 4090.34
Updates : 4908 		 Survival : 108.0  		 Treated : 6 		 Reward : 4031.8
Updates : 4910 		 Survival : 100.0  		 Treated : 6 		 Reward : 3660.89
Updates : 4912 		 Survival : 108.0  		 Treated : 6 		 Reward : 3873.24
Updates : 4914 		 Survival : 108.0  		 Treated : 6 		 Reward : 3741.06
Updates : 4916 		 Survival : 85.0  		 Treated : 6 		 Reward : 2840.79
Updates : 4918 		 Survival : 108.0  		 Treated : 6 		 Reward : 4013.23
Updates : 4920 		 Survival : 108.0  		 Treated : 6 		 Reward : 3670.47
Updates : 4922 		 Survival : 108.0  		 Treated : 6 		 Reward : 3372.33
Updates : 4924 		 Survival : 108.0  		 Treated : 6 		 Reward : 4043.02
Updates : 4926 		 Survival : 108.0  		 Treated : 6 		 Reward : 3722.0
Updates : 4928 		 Survival : 108.0  		 Treated : 6 		 Reward : 3580.21
Updates : 4930 		 Survival : 108.0  		 Treated : 6 		 Reward : 3789.17
Updates : 4932 		 Survival : 108.0  		 Treated : 6 		 Reward : 3919.98
Updates : 4934 		 Survival : 108.0  		 Treated : 6 		 Reward : 3651.85
Updates : 4936 		 Survival : 108.0  		 Treated : 6 		 Reward : 3663.71
Updates : 4938 		 Survival : 108.0  		 Treated : 6 		 Reward : 4078.08
Updates : 4940 		 Survival : 108.0  		 Treated : 6 		 Reward : 3417.74
Updates : 4942 		 Survival : 93.0  		 Treated : 6 		 Reward : 3297.66
Updates : 4944 		 Survival : 108.0  		 Treated : 6 		 Reward : 3923.64
Updates : 4946 		 Survival : 108.0  		 Treated : 6 		 Reward : 3392.22
Updates : 4948 		 Survival : 108.0  		 Treated : 6 		 Reward : 3725.32
Updates : 4950 		 Survival : 108.0  		 Treated : 6 		 Reward : 3610.74
Updates : 4952 		 Survival : 108.0  		 Treated : 6 		 Reward : 3802.24
Updates : 4954 		 Survival : 108.0  		 Treated : 6 		 Reward : 3561.35
Updates : 4956 		 Survival : 108.0  		 Treated : 6 		 Reward : 3974.41
Updates : 4958 		 Survival : 99.0  		 Treated : 6 		 Reward : 3695.41
Updates : 4960 		 Survival : 108.0  		 Treated : 6 		 Reward : 3499.12
Updates : 4962 		 Survival : 96.0  		 Treated : 6 		 Reward : 3505.78
Updates : 4964 		 Survival : 108.0  		 Treated : 6 		 Reward : 4205.09
Updates : 4966 		 Survival : 108.0  		 Treated : 6 		 Reward : 3184.91
Updates : 4968 		 Survival : 93.0  		 Treated : 6 		 Reward : 3327.76
Updates : 4970 		 Survival : 108.0  		 Treated : 6 		 Reward : 3805.38
Updates : 4972 		 Survival : 108.0  		 Treated : 6 		 Reward : 3691.69
Updates : 4974 		 Survival : 99.0  		 Treated : 6 		 Reward : 3695.41
Updates : 4976 		 Survival : 108.0  		 Treated : 6 		 Reward : 3587.72
Updates : 4978 		 Survival : 108.0  		 Treated : 6 		 Reward : 4206.3
Updates : 4980 		 Survival : 108.0  		 Treated : 6 		 Reward : 3377.84
Updates : 4982 		 Survival : 108.0  		 Treated : 6 		 Reward : 2735.18
Updates : 4984 		 Survival : 108.0  		 Treated : 6 		 Reward : 3874.68
Updates : 4986 		 Survival : 87.0  		 Treated : 6 		 Reward : 2840.11
Updates : 4988 		 Survival : 108.0  		 Treated : 6 		 Reward : 3320.24
Updates : 4990 		 Survival : 108.0  		 Treated : 6 		 Reward : 3848.85
Updates : 4992 		 Survival : 108.0  		 Treated : 6 		 Reward : 3243.45
Updates : 4994 		 Survival : 108.0  		 Treated : 6 		 Reward : 3494.4
Updates : 4996 		 Survival : 108.0  		 Treated : 6 		 Reward : 3903.78
Updates : 4998 		 Survival : 108.0  		 Treated : 6 		 Reward : 3658.3
Updates : 5000 		 Survival : 108.0  		 Treated : 6 		 Reward : 3383.16
--------------------------------------------------------------------------------------------
saving model at : ../PPO_pretrained/online/gym_cancer:CancerControl-v0/patient011/final/patient011_10_20220922-1005-m1-0.8-AI-0.8_PPO_gym_cancer:CancerControl-v0_0_0.pth
model saved
Elapsed Time  :  2:20:26
--------------------------------------------------------------------------------------------
Updates : 5002 		 Survival : 108.0  		 Treated : 6 		 Reward : 3959.75
Updates : 5004 		 Survival : 108.0  		 Treated : 6 		 Reward : 4149.47
Updates : 5006 		 Survival : 89.0  		 Treated : 6 		 Reward : 3078.87
Updates : 5008 		 Survival : 85.0  		 Treated : 6 		 Reward : 2830.47
Updates : 5010 		 Survival : 101.0  		 Treated : 6 		 Reward : 3660.42
Updates : 5012 		 Survival : 108.0  		 Treated : 6 		 Reward : 3476.94
Updates : 5014 		 Survival : 108.0  		 Treated : 6 		 Reward : 4102.26
Updates : 5016 		 Survival : 108.0  		 Treated : 6 		 Reward : 3280.21
Updates : 5018 		 Survival : 102.0  		 Treated : 6 		 Reward : 3750.7
Updates : 5020 		 Survival : 101.0  		 Treated : 6 		 Reward : 3816.79
Updates : 5022 		 Survival : 108.0  		 Treated : 6 		 Reward : 3492.63
Updates : 5024 		 Survival : 108.0  		 Treated : 6 		 Reward : 3692.36
Updates : 5026 		 Survival : 108.0  		 Treated : 6 		 Reward : 3632.24
Updates : 5028 		 Survival : 108.0  		 Treated : 6 		 Reward : 3612.35
Updates : 5030 		 Survival : 108.0  		 Treated : 6 		 Reward : 3291.48
Updates : 5032 		 Survival : 89.0  		 Treated : 6 		 Reward : 3065.08
Updates : 5034 		 Survival : 108.0  		 Treated : 6 		 Reward : 4149.47
Updates : 5036 		 Survival : 108.0  		 Treated : 6 		 Reward : 3995.46
Updates : 5038 		 Survival : 103.0  		 Treated : 6 		 Reward : 3923.01
Updates : 5040 		 Survival : 95.0  		 Treated : 6 		 Reward : 3354.34
Updates : 5042 		 Survival : 108.0  		 Treated : 6 		 Reward : 3659.38
Updates : 5044 		 Survival : 108.0  		 Treated : 6 		 Reward : 3360.4
Updates : 5046 		 Survival : 108.0  		 Treated : 6 		 Reward : 4095.57
Updates : 5048 		 Survival : 108.0  		 Treated : 6 		 Reward : 3802.8
Updates : 5050 		 Survival : 92.0  		 Treated : 6 		 Reward : 3321.96
Updates : 5052 		 Survival : 108.0  		 Treated : 6 		 Reward : 4189.62
Updates : 5054 		 Survival : 100.0  		 Treated : 6 		 Reward : 3574.08
Updates : 5056 		 Survival : 108.0  		 Treated : 6 		 Reward : 3797.01
Updates : 5058 		 Survival : 108.0  		 Treated : 6 		 Reward : 3861.43
Updates : 5060 		 Survival : 108.0  		 Treated : 6 		 Reward : 3789.41
Updates : 5062 		 Survival : 88.0  		 Treated : 6 		 Reward : 3025.91
Updates : 5064 		 Survival : 88.0  		 Treated : 6 		 Reward : 3025.91
Updates : 5066 		 Survival : 100.0  		 Treated : 6 		 Reward : 3650.68
Updates : 5068 		 Survival : 90.0  		 Treated : 6 		 Reward : 3145.47
Updates : 5070 		 Survival : 108.0  		 Treated : 6 		 Reward : 3368.08
Updates : 5072 		 Survival : 108.0  		 Treated : 6 		 Reward : 3321.41
Updates : 5074 		 Survival : 97.0  		 Treated : 6 		 Reward : 3581.55
Updates : 5076 		 Survival : 108.0  		 Treated : 6 		 Reward : 3587.98
Updates : 5078 		 Survival : 101.0  		 Treated : 6 		 Reward : 3816.79
Updates : 5080 		 Survival : 101.0  		 Treated : 6 		 Reward : 3763.3
Updates : 5082 		 Survival : 108.0  		 Treated : 6 		 Reward : 2682.3
Updates : 5084 		 Survival : 108.0  		 Treated : 6 		 Reward : 4005.36
Updates : 5086 		 Survival : 108.0  		 Treated : 6 		 Reward : 3469.99
Updates : 5088 		 Survival : 93.0  		 Treated : 6 		 Reward : 3330.6
Updates : 5090 		 Survival : 108.0  		 Treated : 6 		 Reward : 3492.7
Updates : 5092 		 Survival : 108.0  		 Treated : 6 		 Reward : 4141.3
Updates : 5094 		 Survival : 108.0  		 Treated : 6 		 Reward : 3855.53
Updates : 5096 		 Survival : 108.0  		 Treated : 6 		 Reward : 3114.86
Updates : 5098 		 Survival : 108.0  		 Treated : 6 		 Reward : 3541.17
Updates : 5100 		 Survival : 107.0  		 Treated : 6 		 Reward : 4047.36
Updates : 5102 		 Survival : 104.0  		 Treated : 6 		 Reward : 4003.02
Updates : 5104 		 Survival : 108.0  		 Treated : 6 		 Reward : 3233.39
Updates : 5106 		 Survival : 108.0  		 Treated : 6 		 Reward : 3457.41
Updates : 5108 		 Survival : 108.0  		 Treated : 6 		 Reward : 4206.3
Updates : 5110 		 Survival : 108.0  		 Treated : 6 		 Reward : 3749.9
Updates : 5112 		 Survival : 108.0  		 Treated : 6 		 Reward : 3679.47
Updates : 5114 		 Survival : 108.0  		 Treated : 6 		 Reward : 4211.24
Updates : 5116 		 Survival : 96.0  		 Treated : 6 		 Reward : 3501.07
Updates : 5118 		 Survival : 107.0  		 Treated : 6 		 Reward : 3947.48
Updates : 5120 		 Survival : 108.0  		 Treated : 6 		 Reward : 3815.38
Updates : 5122 		 Survival : 108.0  		 Treated : 6 		 Reward : 3717.41
Updates : 5124 		 Survival : 97.0  		 Treated : 6 		 Reward : 3581.55
Updates : 5126 		 Survival : 96.0  		 Treated : 6 		 Reward : 3501.07
Updates : 5128 		 Survival : 108.0  		 Treated : 6 		 Reward : 3552.27
Updates : 5130 		 Survival : 108.0  		 Treated : 6 		 Reward : 3399.75
Updates : 5132 		 Survival : 108.0  		 Treated : 6 		 Reward : 3553.53
Updates : 5134 		 Survival : 108.0  		 Treated : 6 		 Reward : 3374.78
Updates : 5136 		 Survival : 108.0  		 Treated : 6 		 Reward : 3062.79
Updates : 5138 		 Survival : 108.0  		 Treated : 6 		 Reward : 3535.67
Updates : 5140 		 Survival : 91.0  		 Treated : 6 		 Reward : 3223.55
Updates : 5142 		 Survival : 101.0  		 Treated : 6 		 Reward : 3727.59
Updates : 5144 		 Survival : 108.0  		 Treated : 6 		 Reward : 3071.32
Updates : 5146 		 Survival : 108.0  		 Treated : 6 		 Reward : 4015.52
Updates : 5148 		 Survival : 91.0  		 Treated : 6 		 Reward : 3200.41
Updates : 5150 		 Survival : 108.0  		 Treated : 6 		 Reward : 3742.05
Updates : 5152 		 Survival : 108.0  		 Treated : 6 		 Reward : 3650.37
Updates : 5154 		 Survival : 108.0  		 Treated : 6 		 Reward : 3431.85
Updates : 5156 		 Survival : 108.0  		 Treated : 6 		 Reward : 3824.01
Updates : 5158 		 Survival : 108.0  		 Treated : 6 		 Reward : 3831.81
Updates : 5160 		 Survival : 108.0  		 Treated : 6 		 Reward : 3609.64
Updates : 5162 		 Survival : 107.0  		 Treated : 6 		 Reward : 3994.27
Updates : 5164 		 Survival : 108.0  		 Treated : 6 		 Reward : 3892.26
Updates : 5166 		 Survival : 108.0  		 Treated : 6 		 Reward : 3487.24
Updates : 5168 		 Survival : 108.0  		 Treated : 6 		 Reward : 3856.84
Updates : 5170 		 Survival : 91.0  		 Treated : 6 		 Reward : 3200.41
Updates : 5172 		 Survival : 108.0  		 Treated : 6 		 Reward : 3466.01
Updates : 5174 		 Survival : 93.0  		 Treated : 6 		 Reward : 3382.92
Updates : 5176 		 Survival : 92.0  		 Treated : 6 		 Reward : 3302.7
Updates : 5178 		 Survival : 108.0  		 Treated : 6 		 Reward : 4014.83
Updates : 5180 		 Survival : 108.0  		 Treated : 6 		 Reward : 3564.95
Updates : 5182 		 Survival : 108.0  		 Treated : 6 		 Reward : 3794.65
Updates : 5184 		 Survival : 108.0  		 Treated : 6 		 Reward : 3055.37
Updates : 5186 		 Survival : 108.0  		 Treated : 6 		 Reward : 3596.43
Updates : 5188 		 Survival : 108.0  		 Treated : 6 		 Reward : 3572.61
Updates : 5190 		 Survival : 108.0  		 Treated : 6 		 Reward : 3549.36
Updates : 5192 		 Survival : 95.0  		 Treated : 6 		 Reward : 3488.24
