nohup: ignoring input
============================================================================================
Remove CancerControl-v0 from registry
============================================================================================
Device set to : NVIDIA GeForce RTX 3090
============================================================================================
training environment name : gym_cancer:CancerControl-v0--patient011
2022-09-20 18:14:11.982176: I tensorflow/core/util/util.cc:169] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the environment variable `TF_ENABLE_ONEDNN_OPTS=0`.
current logging run number for gym_cancer:CancerControl-v0 :  0
save checkpoint path : ../PPO_pretrained/online/gym_cancer:CancerControl-v0/patient011/
save checkpoint format : patient011_3_20220920-1814-m1-0.8-AI-0.8_PPO_gym_cancer:CancerControl-v0_0_0.pth
--------------------------------------------------------------------------------------------
num of envs : 1
max training updating times :  100000
max timesteps per episode :  120
model saving frequency : 500 episodes
log frequency : 2 episodes
printing average reward over episodes in last : 2 episodes
--------------------------------------------------------------------------------------------
state space dimension :  7
action space dimension :  10
--------------------------------------------------------------------------------------------
Initializing a discrete action space policy
--------------------------------------------------------------------------------------------
The initial explore rate : 0.8 and initial exploit rate is : 1- 0.8
PPO update frequency : 2 episodes
PPO K epochs :  4
PPO epsilon clip :  0.2
discount factor (gamma) :  0.99
--------------------------------------------------------------------------------------------
decaying optimizer with step size :  1000  decay ratio :  0.8
optimizer learning rate actor :  3e-05
optimizer learning rate critic :  1e-05
The local computer has : 24 cores
============================================================================================
Updates : 370 		 SurvivalMonths : 35.0 		 Average Reward : -48.64
Updates : 372 		 SurvivalMonths : 18.0 		 Average Reward : 56.95
Updates : 374 		 SurvivalMonths : 18.0 		 Average Reward : 36.73
Updates : 376 		 SurvivalMonths : 108.0 		 Average Reward : -1845.63
Updates : 378 		 SurvivalMonths : 26.0 		 Average Reward : 174.39
Updates : 380 		 SurvivalMonths : 46.0 		 Average Reward : 760.97
Updates : 382 		 SurvivalMonths : 94.0 		 Average Reward : 499.26
Updates : 384 		 SurvivalMonths : 46.0 		 Average Reward : 760.97
Updates : 386 		 SurvivalMonths : 47.0 		 Average Reward : -314.61
Updates : 388 		 SurvivalMonths : 50.0 		 Average Reward : -161.41
Updates : 390 		 SurvivalMonths : 44.0 		 Average Reward : 144.17
Updates : 392 		 SurvivalMonths : 31.0 		 Average Reward : 169.54
Updates : 394 		 SurvivalMonths : 15.0 		 Average Reward : 14.9
Updates : 396 		 SurvivalMonths : 22.0 		 Average Reward : 184.89
Updates : 398 		 SurvivalMonths : 3.0 		 Average Reward : -0.39
Updates : 400 		 SurvivalMonths : 13.0 		 Average Reward : 22.57
Updates : 402 		 SurvivalMonths : 12.0 		 Average Reward : 9.32
Updates : 404 		 SurvivalMonths : 14.0 		 Average Reward : 76.72
Updates : 406 		 SurvivalMonths : 90.0 		 Average Reward : -1474.48
Updates : 408 		 SurvivalMonths : 32.0 		 Average Reward : 144.86
Updates : 410 		 SurvivalMonths : 7.0 		 Average Reward : 2.42
Updates : 412 		 SurvivalMonths : 108.0 		 Average Reward : 2023.85
Updates : 414 		 SurvivalMonths : 5.0 		 Average Reward : 14.24
Updates : 416 		 SurvivalMonths : 27.0 		 Average Reward : 69.77
Updates : 418 		 SurvivalMonths : 108.0 		 Average Reward : -1924.82
Updates : 420 		 SurvivalMonths : 108.0 		 Average Reward : -1137.74
Updates : 422 		 SurvivalMonths : 3.0 		 Average Reward : -0.18
Updates : 424 		 SurvivalMonths : 8.0 		 Average Reward : 2.21
Updates : 426 		 SurvivalMonths : 25.0 		 Average Reward : 113.43
